IP,Log_Line
127.0.0.1,2025-06-20T03:00:41.706629-04:00 kali sshd-session[7699]: Failed password for root from 127.0.0.1 port 49424 ssh2
127.0.0.1,2025-06-20T03:00:41.903485-04:00 kali sshd-session[7718]: Failed password for root from 127.0.0.1 port 49488 ssh2
127.0.0.1,2025-06-20T03:00:41.911232-04:00 kali sshd-session[7696]: Failed password for root from 127.0.0.1 port 49396 ssh2
127.0.0.1,2025-06-20T03:00:42.030156-04:00 kali sshd-session[7690]: Failed password for root from 127.0.0.1 port 49352 ssh2
127.0.0.1,2025-06-20T03:00:42.111153-04:00 kali sshd-session[7693]: Failed password for root from 127.0.0.1 port 49382 ssh2
127.0.0.1,2025-06-20T03:00:42.144104-04:00 kali sshd-session[7692]: Failed password for root from 127.0.0.1 port 49380 ssh2
127.0.0.1,2025-06-20T03:00:42.283551-04:00 kali sshd-session[7705]: Failed password for root from 127.0.0.1 port 49444 ssh2
127.0.0.1,2025-06-20T03:00:42.309703-04:00 kali sshd-session[7715]: Failed password for root from 127.0.0.1 port 49478 ssh2
127.0.0.1,2025-06-20T03:00:42.334055-04:00 kali sshd-session[7702]: Failed password for root from 127.0.0.1 port 49432 ssh2
127.0.0.1,2025-06-20T03:00:42.387922-04:00 kali sshd-session[7697]: Failed password for root from 127.0.0.1 port 49412 ssh2
127.0.0.1,2025-06-20T03:00:42.422135-04:00 kali sshd-session[7710]: Failed password for root from 127.0.0.1 port 49468 ssh2
127.0.0.1,2025-06-20T03:00:42.605391-04:00 kali sshd-session[7706]: Failed password for root from 127.0.0.1 port 49456 ssh2
127.0.0.1,2025-06-20T03:00:42.731250-04:00 kali sshd-session[7723]: Failed password for root from 127.0.0.1 port 49508 ssh2
127.0.0.1,2025-06-20T03:00:43.050000-04:00 kali sshd-session[7691]: Failed password for root from 127.0.0.1 port 49368 ssh2
127.0.0.1,2025-06-20T03:00:43.934848-04:00 kali sshd-session[7718]: Failed password for root from 127.0.0.1 port 49488 ssh2
127.0.0.1,2025-06-20T03:00:44.811458-04:00 kali sshd-session[7693]: Failed password for root from 127.0.0.1 port 49382 ssh2
127.0.0.1,2025-06-20T03:00:44.897181-04:00 kali sshd-session[7699]: Failed password for root from 127.0.0.1 port 49424 ssh2
127.0.0.1,2025-06-20T03:00:45.095239-04:00 kali sshd-session[7692]: Failed password for root from 127.0.0.1 port 49380 ssh2
127.0.0.1,2025-06-20T03:00:45.123305-04:00 kali sshd-session[7697]: Failed password for root from 127.0.0.1 port 49412 ssh2
127.0.0.1,2025-06-20T03:00:45.329654-04:00 kali sshd-session[7691]: Failed password for root from 127.0.0.1 port 49368 ssh2
127.0.0.1,2025-06-20T03:00:45.353514-04:00 kali sshd-session[7690]: Failed password for root from 127.0.0.1 port 49352 ssh2
127.0.0.1,2025-06-20T03:00:45.805911-04:00 kali sshd-session[7710]: Failed password for root from 127.0.0.1 port 49468 ssh2
127.0.0.1,2025-06-20T03:00:46.000132-04:00 kali sshd-session[7696]: Failed password for root from 127.0.0.1 port 49396 ssh2
127.0.0.1,2025-06-20T03:00:46.237504-04:00 kali sshd-session[7715]: Failed password for root from 127.0.0.1 port 49478 ssh2
127.0.0.1,2025-06-20T03:00:46.262013-04:00 kali sshd-session[7718]: Failed password for root from 127.0.0.1 port 49488 ssh2
127.0.0.1,2025-06-20T03:00:46.505000-04:00 kali sshd-session[7723]: Failed password for root from 127.0.0.1 port 49508 ssh2
127.0.0.1,2025-06-20T03:00:46.783238-04:00 kali sshd-session[7706]: Failed password for root from 127.0.0.1 port 49456 ssh2
127.0.0.1,2025-06-20T03:00:46.837441-04:00 kali sshd-session[7702]: Failed password for root from 127.0.0.1 port 49432 ssh2
127.0.0.1,2025-06-20T03:00:47.238771-04:00 kali sshd-session[7705]: Failed password for root from 127.0.0.1 port 49444 ssh2
127.0.0.1,2025-06-20T03:00:47.441391-04:00 kali sshd-session[7699]: Failed password for root from 127.0.0.1 port 49424 ssh2
127.0.0.1,2025-06-20T03:00:47.562410-04:00 kali sshd-session[7691]: Failed password for root from 127.0.0.1 port 49368 ssh2
127.0.0.1,2025-06-20T03:00:47.869042-04:00 kali sshd-session[7693]: Failed password for root from 127.0.0.1 port 49382 ssh2
127.0.0.1,2025-06-20T03:00:47.950979-04:00 kali sshd-session[7690]: Failed password for root from 127.0.0.1 port 49352 ssh2
127.0.0.1,2025-06-20T03:00:48.143748-04:00 kali sshd-session[7692]: Failed password for root from 127.0.0.1 port 49380 ssh2
127.0.0.1,2025-06-20T03:00:48.319973-04:00 kali sshd-session[7697]: Failed password for root from 127.0.0.1 port 49412 ssh2
127.0.0.1,2025-06-20T03:00:48.477169-04:00 kali sshd-session[7715]: Failed password for root from 127.0.0.1 port 49478 ssh2
127.0.0.1,2025-06-20T03:00:48.685052-04:00 kali sshd-session[7710]: Failed password for root from 127.0.0.1 port 49468 ssh2
127.0.0.1,2025-06-20T03:00:48.983173-04:00 kali sshd-session[7723]: Failed password for root from 127.0.0.1 port 49508 ssh2
127.0.0.1,2025-06-20T03:00:49.576724-04:00 kali sshd-session[7718]: Failed password for root from 127.0.0.1 port 49488 ssh2
127.0.0.1,2025-06-20T03:00:49.963355-04:00 kali sshd-session[7691]: Failed password for root from 127.0.0.1 port 49368 ssh2
127.0.0.1,2025-06-20T03:00:50.243438-04:00 kali sshd-session[7699]: Failed password for root from 127.0.0.1 port 49424 ssh2
127.0.0.1,2025-06-20T03:00:51.221788-04:00 kali sshd-session[7696]: Failed password for root from 127.0.0.1 port 49396 ssh2
127.0.0.1,2025-06-20T03:00:51.241473-04:00 kali sshd-session[7693]: Failed password for root from 127.0.0.1 port 49382 ssh2
127.0.0.1,2025-06-20T03:00:52.048665-04:00 kali sshd-session[7697]: Failed password for root from 127.0.0.1 port 49412 ssh2
127.0.0.1,2025-06-20T03:00:53.518113-04:00 kali sshd-session[7870]: Failed password for kali from 127.0.0.1 port 54432 ssh2
127.0.0.1,2025-06-20T03:00:53.533516-04:00 kali sshd-session[7868]: Failed password for kali from 127.0.0.1 port 54428 ssh2
127.0.0.1,2025-06-20T03:00:53.960277-04:00 kali sshd-session[7706]: Failed password for root from 127.0.0.1 port 49456 ssh2
127.0.0.1,2025-06-20T03:00:54.005677-04:00 kali sshd-session[7702]: Failed password for root from 127.0.0.1 port 49432 ssh2
127.0.0.1,2025-06-20T03:00:54.025463-04:00 kali sshd-session[7710]: Failed password for root from 127.0.0.1 port 49468 ssh2
127.0.0.1,2025-06-20T03:00:54.045842-04:00 kali sshd-session[7883]: Failed password for kali from 127.0.0.1 port 54468 ssh2
127.0.0.1,2025-06-20T03:00:54.113922-04:00 kali sshd-session[7691]: Failed password for root from 127.0.0.1 port 49368 ssh2
